TIME L_NU_E L_NU_E_BAR L_NU_X E_NU_E E_NU_E_BAR E_NU_X RMS_NU_E RMS_NU_E_BAR RMS_NU_X ALPHA_NU_E ALPHA_NU_E_BAR ALPHA_NU_X
0.001 94210869.947318 94210869.947318 94210869.947318 183.3118504194712 183.3118504194712 183.3118504194712 197.13456526400765 197.13456526400765 197.13456526400765 5.389902581359396 5.389902581359396 5.389902581359396
0.011 176015032.21554255 176015032.21554255 176015032.21554255 159.5455622195869 159.5455622195869 159.5455622195869 173.59654078369115 173.59654078369115 173.59654078369115 4.437926875751044 4.437926875751044 4.437926875751044
0.021 257819194.483767 257819194.483767 257819194.483767 152.32886022415468 152.32886022415468 152.32886022415468 165.78902106386266 165.78902106386266 165.78902106386266 4.419086138552875 4.419086138552875 4.419086138552875
0.031 339623356.7519915 339623356.7519915 339623356.7519915 148.83966758239964 148.83966758239964 148.83966758239964 161.87918705262493 161.87918705262493 161.87918705262493 4.467744196560877 4.467744196560877 4.467744196560877
0.041 421427519.2728311 421427519.2728311 421427519.2728311 146.78278165918925 146.78278165918925 146.78278165918925 159.52944405171456 159.52944405171456 159.52944405171456 4.518098050724807 4.518098050724807 4.518098050724807
0.051000000000000004 503231681.2884405 503231681.2884405 503231681.2884405 145.42645420660642 145.42645420660642 145.42645420660642 157.96088194068454 157.96088194068454 157.96088194068454 4.561409456575113 4.561409456575113 4.561409456575113
0.061000000000000006 450909219.2617221 450909219.2617221 450909219.2617221 142.03754079045032 142.03754079045032 142.03754079045032 154.2922152195919 154.2922152195919 154.2922152195919 4.555577976070075 4.555577976070075 4.555577976070075
0.07100000000000001 398586756.68498576 398586756.68498576 398586756.68498576 137.97804427603563 137.97804427603563 137.97804427603563 149.77936568467297 149.77936568467297 149.77936568467297 4.606125495747775 4.606125495747775 4.606125495747775
0.081 346264294.3832585 346264294.3832585 346264294.3832585 133.0270724290042 133.0270724290042 133.0270724290042 144.08429524377016 144.08429524377016 144.08429524377016 4.775368024942152 4.775368024942152 4.775368024942152
0.091 293941832.08153135 293941832.08153135 293941832.08153135 126.8547490620664 126.8547490620664 126.8547490620664 136.65232202406702 136.65232202406702 136.65232202406702 5.23307971278741 5.23307971278741 5.23307971278741
0.10100000000000002 241619369.77980387 241619369.77980387 241619369.77980387 118.94554499060558 118.94554499060558 118.94554499060558 126.49234474269953 126.49234474269953 126.49234474269953 6.6382158373152285 6.6382158373152285 6.6382158373152285
0.111 263966678.502882 263966678.502882 263966678.502882 119.14475992505784 119.14475992505784 119.14475992505784 126.54344913898694 126.54344913898694 126.54344913898694 6.809276383936759 6.809276383936759 6.809276383936759
0.12100000000000001 286313987.22596 286313987.22596 286313987.22596 119.31339662851936 119.31339662851936 119.31339662851936 126.58669320979448 126.58669320979448 126.58669320979448 6.95954851899815 6.95954851899815 6.95954851899815
0.131 308661295.9490381 308661295.9490381 308661295.9490381 119.45799363635176 119.45799363635176 119.45799363635176 126.62376094083315 126.62376094083315 126.62376094083315 7.092604510156725 7.092604510156725 7.092604510156725
0.14100000000000001 331008604.6721164 331008604.6721164 331008604.6721164 119.58334933777931 119.58334933777931 119.58334933777931 126.65588734554484 126.65588734554484 126.65588734554484 7.2112425348267095 7.2112425348267095 7.2112425348267095
0.151 353355913.3951943 353355913.3951943 353355913.3951943 119.6930647588094 119.6930647588094 119.6930647588094 126.68399874279241 126.68399874279241 126.68399874279241 7.317685569168293 7.317685569168293 7.317685569168293
0.161 364577132.72048336 364577132.72048336 364577132.72048336 120.00423055910728 120.00423055910728 120.00423055910728 127.04890805215445 127.04890805215445 127.04890805215445 7.274497363962743 7.274497363962743 7.274497363962743
0.171 375798352.0457721 375798352.0457721 375798352.0457721 120.29829318356575 120.29829318356575 120.29829318356575 127.39279952475569 127.39279952475569 127.39279952475569 7.235431529400417 7.235431529400417 7.235431529400417
0.181 387019571.71525776 387019571.71525776 387019571.71525776 120.57662513251455 120.57662513251455 120.57662513251455 127.71744165496966 127.71744165496966 127.71744165496966 7.1999656276695845 7.1999656276695845 7.1999656276695845
0.191 398240790.69634974 398240790.69634974 398240790.69634974 120.84045547095343 120.84045547095343 120.84045547095343 128.02440957109187 128.02440957109187 128.02440957109187 7.167658505542368 7.167658505542368 7.167658505542368
0.20100000000000004 409462010.0216386 409462010.0216386 409462010.0216386 121.09088905495811 121.09088905495811 121.09088905495811 128.31511080880324 128.31511080880324 128.31511080880324 7.138136503769405 7.138136503769405 7.138136503769405
0.21099999999999997 489177581.84700906 489177581.84700906 489177581.84700906 121.25087093921184 121.25087093921184 121.25087093921184 128.62174451739438 128.62174451739438 128.62174451739438 6.982374670450083 6.982374670450083 6.982374670450083
0.221 568893153.6723796 568893153.6723796 568893153.6723796 121.36628010117118 121.36628010117118 121.36628010117118 128.84249356503096 128.84249356503096 128.84249356503096 6.874298145620953 6.874298145620953 6.874298145620953
0.23100000000000004 648608725.4977504 648608725.4977504 648608725.4977504 121.4534666205366 121.4534666205366 121.4534666205366 129.0090091844708 129.0090091844708 129.0090091844708 6.794917173103889 6.794917173103889 6.794917173103889
0.24099999999999996 728324297.3213714 728324297.3213714 728324297.3213714 121.5216549480837 121.5216549480837 121.5216549480837 129.1390911158738 129.1390911158738 129.1390911158738 6.7341430256018056 6.7341430256018056 6.7341430256018056
0.251 808039869.148492 808039869.148492 808039869.148492 121.57644484903918 121.57644484903918 121.57644484903918 129.2435180581291 129.2435180581291 129.2435180581291 6.686120160093918 6.686120160093918 6.686120160093918
0.261 793578249.6056871 793578249.6056871 793578249.6056871 121.0237322607444 121.0237322607444 121.0237322607444 128.67544427224576 128.67544427224576 128.67544427224576 6.665938978387904 6.665938978387904 6.665938978387904
0.271 779116630.28448 779116630.28448 779116630.28448 120.45578519433019 120.45578519433019 120.45578519433019 128.08908808217166 128.08908808217166 128.08908808217166 6.647826396620523 6.647826396620523 6.647826396620523
0.281 764655010.9632723 764655010.9632723 764655010.9632723 119.8719649182217 119.8719649182217 119.8719649182217 127.48353317649664 127.48353317649664 127.48353317649664 6.632020602573401 6.632020602573401 6.632020602573401
0.291 750193391.6420642 750193391.6420642 750193391.6420642 119.27159657522026 119.27159657522026 119.27159657522026 126.85779951060033 126.85779951060033 126.85779951060033 6.618792108981437 6.618792108981437 6.618792108981437
0.301 735731772.1553153 735731772.1553153 735731772.1553153 118.65396645526752 118.65396645526752 118.65396645526752 126.21083747125897 126.21083747125897 126.21083747125897 6.6084492191948705 6.6084492191948705 6.6084492191948705
0.311 720336649.0571444 720336649.0571444 720336649.0571444 118.27786625957415 118.27786625957415 118.27786625957415 125.80813091661103 125.80813091661103 125.80813091661103 6.6112126697283475 6.6112126697283475 6.6112126697283475
0.321 704941525.9750032 704941525.9750032 704941525.9750032 117.8878732705868 117.8878732705868 117.8878732705868 125.3891828426256 125.3891828426256 125.3891828426256 6.615528108332564 6.615528108332564 6.615528108332564
0.331 689546403.1910956 689546403.1910956 689546403.1910956 117.48320317595953 117.48320317595953 117.48320317595953 124.95298298222694 124.95298298222694 124.95298298222694 6.621602853610771 6.621602853610771 6.621602853610771
0.341 674151280.2030227 674151280.2030227 674151280.2030227 117.06301153933173 117.06301153933173 117.06301153933173 124.49843489061536 124.49843489061536 124.49843489061536 6.629675417417723 6.629675417417723 6.629675417417723
0.35100000000000003 658756157.2149491 658756157.2149491 658756157.2149491 116.62638785101775 116.62638785101775 116.62638785101775 124.02434635380712 124.02434635380712 124.02434635380712 6.640021273083413 6.640021273083413 6.640021273083413
0.361 644482353.3609134 644482353.3609134 644482353.3609134 116.28058454283581 116.28058454283581 116.28058454283581 123.64853515937715 123.64853515937715 123.64853515937715 6.648649251045884 6.648649251045884 6.648649251045884
0.37100000000000005 630208549.5068775 630208549.5068775 630208549.5068775 115.92130210435154 115.92130210435154 115.92130210435154 123.25686146362915 123.25686146362915 123.25686146362915 6.658994167221728 6.658994167221728 6.658994167221728
0.381 615934745.6528412 615934745.6528412 615934745.6528412 115.54773682177222 115.54773682177222 115.54773682177222 122.84829297986906 122.84829297986906 122.84829297986906 6.671281553691158 6.671281553691158 6.671281553691158
0.391 601660941.8329924 601660941.8329924 601660941.8329924 115.159019673741 115.159019673741 115.159019673741 122.42170531451691 122.42170531451691 122.42170531451691 6.6857714985641135 6.6857714985641135 6.6857714985641135
0.40099999999999997 587387137.9447695 587387137.9447695 587387137.9447695 114.75420972011591 114.75420972011591 114.75420972011591 121.97587119652547 121.97587119652547 121.97587119652547 6.702765557869403 6.702765557869403 6.702765557869403
0.41100000000000003 611867663.3268492 611867663.3268492 611867663.3268492 114.72976510095238 114.72976510095238 114.72976510095238 122.00075695319414 122.00075695319414 122.00075695319414 6.647232511989163 6.647232511989163 6.647232511989163
0.42099999999999993 636348188.730775 636348188.730775 636348188.730775 114.7072105335832 114.7072105335832 114.7072105335832 122.02371408471438 122.02371408471438 122.02371408471438 6.596662901800999 6.596662901800999 6.596662901800999
0.431 660828714.0257679 660828714.0257679 660828714.0257679 114.68633494674263 114.68633494674263 114.68633494674263 122.04495843304022 122.04495843304022 122.04495843304022 6.5504197349561935 6.5504197349561935 6.5504197349561935
0.441 685309239.4730873 685309239.4730873 685309239.4730873 114.66695756877688 114.66695756877688 114.66695756877688 122.06467473984563 122.06467473984563 122.06467473984563 6.50797059814447 6.50797059814447 6.50797059814447
0.451 709789764.8551666 709789764.8551666 709789764.8551666 114.64892276335009 114.64892276335009 114.64892276335009 122.08302220621485 122.08302220621485 122.08302220621485 6.4688669760707125 6.4688669760707125 6.4688669760707125
0.4610000000000001 696643650.0301756 696643650.0301756 696643650.0301756 114.16068366744219 114.16068366744219 114.16068366744219 121.5681483864272 121.5681483864272 121.5681483864272 6.463642444569047 6.463642444569047 6.463642444569047
0.47100000000000003 683497535.2051843 683497535.2051843 683497535.2051843 113.65804541447038 113.65804541447038 113.65804541447038 121.03580174193077 121.03580174193077 121.03580174193077 6.460610291921919 6.460610291921919 6.460610291921919
0.4809999999999999 670351420.2752838 670351420.2752838 670351420.2752838 113.14036146274236 113.14036146274236 113.14036146274236 120.48506146211972 120.48506146211972 120.48506146211972 6.460036663131165 6.460036663131165 6.460036663131165
0.491 657205305.5552026 657205305.5552026 657205305.5552026 112.60694606755062 112.60694606755062 112.60694606755062 119.91493931823528 119.91493931823528 119.91493931823528 6.462225822431673 6.462225822431673 6.462225822431673
0.501 644059191.0844722 644059191.0844722 644059191.0844722 112.05707106438165 112.05707106438165 112.05707106438165 119.32437352369625 119.32437352369625 119.32437352369625 6.467526453112453 6.467526453112453 6.467526453112453
0.511 627798005.3553936 627798005.3553936 627798005.3553936 111.66137148703412 111.66137148703412 111.66137148703412 118.89917203220175 118.89917203220175 118.89917203220175 6.471612111089877 6.471612111089877 6.471612111089877
0.521 611536819.9805759 611536819.9805759 611536819.9805759 111.24763841579835 111.24763841579835 111.24763841579835 118.45296024598399 118.45296024598399 118.45296024598399 6.477666470696482 6.477666470696482 6.477666470696482
0.531 595275634.4714607 595275634.4714607 595275634.4714607 110.81461026385513 110.81461026385513 110.81461026385513 117.98413126836908 117.98413126836908 117.98413126836908 6.486007776950011 6.486007776950011 6.486007776950011
0.541 579014449.2309402 579014449.2309402 579014449.2309402 110.3609050767257 110.3609050767257 110.3609050767257 117.49090881880836 117.49090881880836 117.49090881880836 6.49701291366985 6.49701291366985 6.49701291366985
0.551 562753263.9303269 562753263.9303269 562753263.9303269 109.88500557433957 109.88500557433957 109.88500557433957 116.9713241624848 116.9713241624848 116.9713241624848 6.511130267347169 6.511130267347169 6.511130267347169
0.561 551079411.4863726 551079411.4863726 551079411.4863726 109.53400773152687 109.53400773152687 109.53400773152687 116.5865390024985 116.5865390024985 116.5865390024985 6.5233784590950075 6.5233784590950075 6.5233784590950075
0.5710000000000001 539405559.140985 539405559.140985 539405559.140985 109.17019932781729 109.17019932781729 109.17019932781729 116.18636518513613 116.18636518513613 116.18636518513613 6.537687810855617 6.537687810855617 6.537687810855617
0.581 527731706.7521589 527731706.7521589 527731706.7521589 108.79286602048045 108.79286602048045 108.79286602048045 115.76985320793034 115.76985320793034 115.76985320793034 6.554317812886709 6.554317812886709 6.554317812886709
