TIME L_NU_E L_NU_E_BAR L_NU_X E_NU_E E_NU_E_BAR E_NU_X RMS_NU_E RMS_NU_E_BAR RMS_NU_X ALPHA_NU_E ALPHA_NU_E_BAR ALPHA_NU_X
0.001 431216211153.9686 431216211153.9686 431216211153.9686 14.3337952311637 14.3337952311637 14.3337952311637 15.879857433031574 15.879857433031574 15.879857433031574 3.398374422593396 3.398374422593396 3.398374422593396
0.002 430980265012.17596 430980265012.17596 430980265012.17596 14.338939326990253 14.338939326990253 14.338939326990253 15.88606771997587 15.88606771997587 15.88606771997587 3.396846327430108 3.396846327430108 3.396846327430108
0.003 430744318870.38336 430744318870.38336 430744318870.38336 14.344092757928763 14.344092757928763 14.344092757928763 15.892286843447955 15.892286843447955 15.892286843447955 3.3953248343701325 3.3953248343701325 3.3953248343701325
0.004 430508372728.5905 430508372728.5905 430508372728.5905 14.349255549413256 14.349255549413256 14.349255549413256 15.898514823753503 15.898514823753503 15.898514823753503 3.393809951771622 3.393809951771622 3.393809951771622
0.005 430272426586.798 430272426586.798 430272426586.798 14.354427726970293 14.354427726970293 14.354427726970293 15.904751681263122 15.904751681263122 15.904751681263122 3.39230168807445 3.39230168807445 3.39230168807445
0.006 430036480445.0053 430036480445.0053 430036480445.0053 14.359609316219277 14.359609316219277 14.359609316219277 15.910997436412577 15.910997436412577 15.910997436412577 3.3908000518003862 3.3908000518003862 3.3908000518003862
0.007 429800534303.21246 429800534303.21246 429800534303.21246 14.364800342872963 14.364800342872963 14.364800342872963 15.917252109703092 15.917252109703092 15.917252109703092 3.3893050515537357 3.3893050515537357 3.3893050515537357
0.008 429564588161.4197 429564588161.4197 429564588161.4197 14.370000832737864 14.370000832737864 14.370000832737864 15.923515721701614 15.923515721701614 15.923515721701614 3.387816696021738 3.387816696021738 3.387816696021738
0.009000000000000001 429328642019.627 429328642019.627 429328642019.627 14.37521081171464 14.37521081171464 14.37521081171464 15.929788293041069 15.929788293041069 15.929788293041069 3.3863349939749 3.3863349939749 3.3863349939749
0.010000000000000002 429092695877.8345 429092695877.8345 429092695877.8345 14.380430305798598 14.380430305798598 14.380430305798598 15.936069844420667 15.936069844420667 15.936069844420667 3.384859954267563 3.384859954267563 3.384859954267563
0.011 428856749736.0416 428856749736.0416 428856749736.0416 14.385659341080032 14.385659341080032 14.385659341080032 15.942360396606123 15.942360396606123 15.942360396606123 3.3833915858381998 3.3833915858381998 3.3833915858381998
0.012 428620803594.2489 428620803594.2489 428620803594.2489 14.390897943744747 14.390897943744747 14.390897943744747 15.948659970429972 15.948659970429972 15.948659970429972 3.3819298977100747 3.3819298977100747 3.3819298977100747
0.013000000000000001 428384857452.4562 428384857452.4562 428384857452.4562 14.396146140074446 14.396146140074446 14.396146140074446 15.954968586791843 15.954968586791843 15.954968586791843 3.3804748989915083 3.3804748989915083 3.3804748989915083
0.014000000000000002 428148911310.6634 428148911310.6634 428148911310.6634 14.401403956447188 14.401403956447188 14.401403956447188 15.961286266658718 15.961286266658718 15.961286266658718 3.379026598876438 3.379026598876438 3.379026598876438
0.014999999999999998 427912965168.8708 427912965168.8708 427912965168.8708 14.406671419337817 14.406671419337817 14.406671419337817 15.96761303106522 15.96761303106522 15.96761303106522 3.37758500664484 3.37758500664484 3.37758500664484
0.016 427677019027.078 427677019027.078 427677019027.078 14.411948555318405 14.411948555318405 14.411948555318405 15.973948901113891 15.973948901113891 15.973948901113891 3.376150131663188 3.376150131663188 3.376150131663188
0.017 427441072885.2854 427441072885.2854 427441072885.2854 14.417235391058735 14.417235391058735 14.417235391058735 15.980293897975486 15.980293897975486 15.980293897975486 3.374721983384985 3.374721983384985 3.374721983384985
0.018000000000000002 427205126743.4927 427205126743.4927 427205126743.4927 14.42253195332668 14.42253195332668 14.42253195332668 15.986648042889227 15.986648042889227 15.986648042889227 3.3733005713511264 3.3733005713511264 3.3733005713511264
0.019000000000000003 426969180601.6999 426969180601.6999 426969180601.6999 14.427838268988738 14.427838268988738 14.427838268988738 15.993011357163125 15.993011357163125 15.993011357163125 3.371885905190496 3.371885905190496 3.371885905190496
0.02 426733234459.90717 426733234459.90717 426733234459.90717 14.433154365010415 14.433154365010415 14.433154365010415 15.999383862174241 15.999383862174241 15.999383862174241 3.370477994620359 3.370477994620359 3.370477994620359
0.021 426497288318.1145 426497288318.1145 426497288318.1145 14.438480268456733 14.438480268456733 14.438480268456733 16.00576557936897 16.00576557936897 16.00576557936897 3.3690768494469343 3.3690768494469343 3.3690768494469343
0.022000000000000002 426261342176.32184 426261342176.32184 426261342176.32184 14.443816006492664 14.443816006492664 14.443816006492664 16.012156530263354 16.012156530263354 16.012156530263354 3.3676824795657847 3.3676824795657847 3.3676824795657847
0.023 426025396034.52924 426025396034.52924 426025396034.52924 14.44916160638358 14.44916160638358 14.44916160638358 16.018556736443347 16.018556736443347 16.018556736443347 3.366294894962362 3.366294894962362 3.366294894962362
0.024 425789449892.7364 425789449892.7364 425789449892.7364 14.454517095495746 14.454517095495746 14.454517095495746 16.024966219565115 16.024966219565115 16.024966219565115 3.364914105712534 3.364914105712534 3.364914105712534
0.024999999999999998 425553503750.94366 425553503750.94366 425553503750.94366 14.459882501296782 14.459882501296782 14.459882501296782 16.031385001355343 16.031385001355343 16.031385001355343 3.363540121983072 3.363540121983072 3.363540121983072
0.026000000000000002 425317557609.1509 425317557609.1509 425317557609.1509 14.465257851356107 14.465257851356107 14.465257851356107 16.03781310361151 16.03781310361151 16.03781310361151 3.362172954032074 3.362172954032074 3.362172954032074
0.027 425081611467.3582 425081611467.3582 425081611467.3582 14.470643173345456 14.470643173345456 14.470643173345456 16.044250548202193 16.044250548202193 16.044250548202193 3.3608126122096715 3.3608126122096715 3.3608126122096715
0.028 424845665325.5656 424845665325.5656 424845665325.5656 14.476038495039294 14.476038495039294 14.476038495039294 16.050697357067364 16.050697357067364 16.050697357067364 3.3594591069582878 3.3594591069582878 3.3594591069582878
0.029000000000000005 424609719183.77277 424609719183.77277 424609719183.77277 14.481443844315349 14.481443844315349 14.481443844315349 16.0571535522187 16.0571535522187 16.0571535522187 3.3581124488133502 3.3581124488133502 3.3581124488133502
0.030000000000000002 424373773041.9801 424373773041.9801 424373773041.9801 14.48685924915507 14.48685924915507 14.48685924915507 16.06361915573986 16.06361915573986 16.06361915573986 3.3567726484038123 3.3567726484038123 3.3567726484038123
0.031 424137826900.1875 424137826900.1875 424137826900.1875 14.492284737644107 14.492284737644107 14.492284737644107 16.070094189786808 16.070094189786808 16.070094189786808 3.3554397164525676 3.3554397164525676 3.3554397164525676
0.032 423901880758.3947 423901880758.3947 423901880758.3947 14.497720337972806 14.497720337972806 14.497720337972806 16.07657867658812 16.07657867658812 16.07657867658812 3.3541136637770537 3.3541136637770537 3.3541136637770537
0.033 423665934616.602 423665934616.602 423665934616.602 14.503166078436672 14.503166078436672 14.503166078436672 16.083072638445262 16.083072638445262 16.083072638445262 3.3527945012898086 3.3527945012898086 3.3527945012898086
0.034 423429988474.8094 423429988474.8094 423429988474.8094 14.5086219874369 14.5086219874369 14.5086219874369 16.089576097732927 16.089576097732927 16.089576097732927 3.3514822399989654 3.3514822399989654 3.3514822399989654
0.035 423194042333.01666 423194042333.01666 423194042333.01666 14.514088093480842 14.514088093480842 14.514088093480842 16.096089076899318 16.096089076899318 16.096089076899318 3.3501768910088727 3.3501768910088727 3.3501768910088727
0.036000000000000004 422958096191.2239 422958096191.2239 422958096191.2239 14.51956442518251 14.51956442518251 14.51956442518251 16.102611598466506 16.102611598466506 16.102611598466506 3.348878465520548 3.348878465520548 3.348878465520548
0.037000000000000005 422722150049.4312 422722150049.4312 422722150049.4312 14.525051011263072 14.525051011263072 14.525051011263072 16.10914368503066 16.10914368503066 16.10914368503066 3.347586974832336 3.347586974832336 3.347586974832336
0.038 422486203907.6386 422486203907.6386 422486203907.6386 14.530547880551364 14.530547880551364 14.530547880551364 16.11568535926244 16.11568535926244 16.11568535926244 3.3463024303404305 3.3463024303404305 3.3463024303404305
0.039 422250257765.8457 422250257765.8457 422250257765.8457 14.536055061984369 14.536055061984369 14.536055061984369 16.122236643907275 16.122236643907275 16.122236643907275 3.345024843539359 3.345024843539359 3.345024843539359
0.04 422014311624.0531 422014311624.0531 422014311624.0531 14.541572584607778 14.541572584607778 14.541572584607778 16.128797561785678 16.128797561785678 16.128797561785678 3.3437542260227713 3.3437542260227713 3.3437542260227713
0.041 421778365482.2604 421778365482.2604 421778365482.2604 14.547100477576423 14.547100477576423 14.547100477576423 16.13536813579357 16.13536813579357 16.13536813579357 3.3424905894837598 3.3424905894837598 3.3424905894837598
0.042 421542419340.4678 421542419340.4678 421542419340.4678 14.552638770154879 14.552638770154879 14.552638770154879 16.141948388902613 16.141948388902613 16.141948388902613 3.34123394571564 3.34123394571564 3.34123394571564
0.043000000000000003 421306473198.675 421306473198.675 421306473198.675 14.558187491717897 14.558187491717897 14.558187491717897 16.148538344160507 16.148538344160507 16.148538344160507 3.3399843066124304 3.3399843066124304 3.3399843066124304
0.044000000000000004 421070527056.8823 421070527056.8823 421070527056.8823 14.563746671750994 14.563746671750994 14.563746671750994 16.155138024691333 16.155138024691333 16.155138024691333 3.338741684169518 3.338741684169518 3.338741684169518
0.045 420834580915.0896 420834580915.0896 420834580915.0896 14.569316339850907 14.569316339850907 14.569316339850907 16.161747453695863 16.161747453695863 16.161747453695863 3.3375060904841507 3.3375060904841507 3.3375060904841507
0.046 420598634773.29675 420598634773.29675 420598634773.29675 14.574896525726178 14.574896525726178 14.574896525726178 16.168366654451905 16.168366654451905 16.168366654451905 3.336277537756151 3.336277537756151 3.336277537756151
0.047 420362688631.50415 420362688631.50415 420362688631.50415 14.580487259197671 14.580487259197671 14.580487259197671 16.174995650314614 16.174995650314614 16.174995650314614 3.3350560382885486 3.3350560382885486 3.3350560382885486
0.048 420126742489.71155 420126742489.71155 420126742489.71155 14.586088570199067 14.586088570199067 14.586088570199067 16.181634464716833 16.181634464716833 16.181634464716833 3.3338416044880286 3.3338416044880286 3.3338416044880286
0.049 419890796347.9187 419890796347.9187 419890796347.9187 14.591700488777413 14.591700488777413 14.591700488777413 16.18828312116941 16.18828312116941 16.18828312116941 3.3326342488656624 3.3326342488656624 3.3326342488656624
0.049999999999999996 419654850206.12604 419654850206.12604 419654850206.12604 14.597323045093704 14.597323045093704 14.597323045093704 16.19494164326156 16.19494164326156 16.19494164326156 3.3314339840375995 3.3314339840375995 3.3314339840375995
0.051000000000000004 419418904064.33325 419418904064.33325 419418904064.33325 14.602956269423348 14.602956269423348 14.602956269423348 16.20161005466117 16.20161005466117 16.20161005466117 3.3302408227255422 3.3302408227255422 3.3302408227255422
0.052000000000000005 419181635488.0535 419181635488.0535 419181635488.0535 14.60806873073853 14.60806873073853 14.60806873073853 16.207803576579135 16.207803576579135 16.207803576579135 3.328756297928374 3.328756297928374 3.328756297928374
0.053000000000000005 418944366911.774 418944366911.774 418944366911.774 14.613190569988321 14.613190569988321 14.613190569988321 16.214006087100696 16.214006087100696 16.214006087100696 3.327277808951627 3.327277808951627 3.327277808951627
0.054 418707098335.4941 418707098335.4941 418707098335.4941 14.618321812999728 14.618321812999728 14.618321812999728 16.220217607172668 16.220217607172668 16.220217607172668 3.3258053643816208 3.3258053643816208 3.3258053643816208
0.055 418469829759.2144 418469829759.2144 418469829759.2144 14.623462485694683 14.623462485694683 14.623462485694683 16.226438157809635 16.226438157809635 16.226438157809635 3.3243389728790236 3.3243389728790236 3.3243389728790236
0.056 418232561182.9347 418232561182.9347 418232561182.9347 14.62861261409048 14.62861261409048 14.62861261409048 16.23266776009425 16.23266776009425 16.23266776009425 3.32287864317914 3.32287864317914 3.32287864317914
0.056999999999999995 417995292606.655 417995292606.655 417995292606.655 14.633772224300225 14.633772224300225 14.633772224300225 16.238906435177537 16.238906435177537 16.238906435177537 3.321424384092428 3.321424384092428 3.321424384092428
0.05800000000000001 417758024030.3753 417758024030.3753 417758024030.3753 14.638941342533254 14.638941342533254 14.638941342533254 16.245154204279128 16.245154204279128 16.245154204279128 3.319976204504816 3.319976204504816 3.319976204504816
0.059000000000000004 417520755454.09576 417520755454.09576 417520755454.09576 14.644119995095581 14.644119995095581 14.644119995095581 16.251411088687583 16.251411088687583 16.251411088687583 3.3185341133781576 3.3185341133781576 3.3185341133781576
0.060000000000000005 417283486877.8158 417283486877.8158 417283486877.8158 14.649308208390352 14.649308208390352 14.649308208390352 16.257677109760667 16.257677109760667 16.257677109760667 3.3170981197506717 3.3170981197506717 3.3170981197506717
0.061000000000000006 417046218301.5362 417046218301.5362 417046218301.5362 14.654506008918316 14.654506008918316 14.654506008918316 16.26395228892565 16.26395228892565 16.26395228892565 3.315668232737398 3.315668232737398 3.315668232737398
0.062 416808949725.2565 416808949725.2565 416808949725.2565 14.65971342327824 14.65971342327824 14.65971342327824 16.27023664767957 16.27023664767957 16.27023664767957 3.3142444615305644 3.3142444615305644 3.3142444615305644
0.063 416571681148.97675 416571681148.97675 416571681148.97675 14.664930478167356 14.664930478167356 14.664930478167356 16.276530207589552 16.276530207589552 16.276530207589552 3.3128268154000025 3.3128268154000025 3.3128268154000025
